UTC,Temperature,Humidity,TVOC,eCO2,Raw_H2,Raw_Ethanol,Pressure,PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,Fire_Alarm
1654763348,18.36,53.66,34,400,13137,20010,939.615,0.63,0.66,4.37,0.681,0.015,2005,0
1654763349,18.57,52.92,37,400,13134,20009,939.625,0.64,0.66,4.39,0.685,0.015,2006,0
1654763350,18.68,52.18,38,400,13145,20014,939.61,0.67,0.7,4.62,0.721,0.016,2007,0
1654763351,18.78,51.55,50,400,13133,19997,939.606,0.69,0.72,4.77,0.743,0.017,2008,0
1654763352,18.86,50.91,42,400,13135,20005,939.618,0.7,0.73,4.84,0.755,0.017,2009,0
1654763353,18.93,50.33,46,400,13136,20005,939.617,0.7,0.72,4.8,0.748,0.017,2010,0
1654763354,18.99,49.92,49,400,13137,20010,939.621,0.7,0.72,4.79,0.748,0.017,2011,0
1654763355,19.09,49.53,54,400,13133,20002,939.621,0.71,0.74,4.87,0.76,0.017,2012,0
1654763356,19.12,49.22,45,400,13140,20014,939.611,0.74,0.77,5.08,0.793,0.018,2013,0
1654763357,19.16,48.95,45,400,13132,20009,939.624,0.74,0.77,5.11,0.797,0.018,2014,0
1654763358,19.2,48.69,50,400,13133,20003,939.624,0.73,0.76,5,0.78,0.018,2015,0
1654763359,19.29,48.49,46,400,13141,20002,939.614,0.73,0.75,5,0.779,0.018,2016,0
1654763360,19.32,48.31,42,400,13134,20011,939.622,0.74,0.77,5.08,0.792,0.018,2017,0
1654763361,19.33,48.09,44,400,13129,20008,939.626,0.74,0.77,5.11,0.797,0.018,2018,0
1654763362,19.37,48,42,400,13143,20021,939.63,0.73,0.76,5.01,0.781,0.018,2019,0
1654763363,19.4,47.89,44,400,13136,20016,939.64,0.73,0.76,5,0.78,0.018,2020,0
1654763364,19.41,47.76,43,400,13138,20009,939.645,0.74,0.77,5.09,0.793,0.018,2021,0
1654763365,19.46,47.68,45,400,13137,20015,939.647,0.74,0.77,5.07,0.79,0.018,2022,0
1654763366,19.49,47.59,31,400,13144,20017,939.651,0.73,0.76,5.05,0.788,0.018,2023,0
1654763367,19.49,47.5,36,400,13137,20014,939.637,0.78,0.81,5.36,0.835,0.019,2024,0
1654763368,19.54,47.42,43,400,13137,20012,939.633,0.79,0.82,5.44,0.848,0.019,2025,0
1654763369,19.57,47.34,43,400,13140,20014,939.639,0.82,0.85,5.64,0.879,0.02,2026,0
1654763370,19.55,47.26,38,400,13142,20011,939.644,0.84,0.87,5.75,0.897,0.02,2027,0
